指标名称,进口数量:铜矿石及精矿:当月值,进口平均单价:铜矿砂及其精矿:当月值,进口金额:铜矿砂及其精矿:当月值
2011-06-14,,,
2011-06-15,,,
2011-06-16,,,
2011-06-17,,,
2011-06-20,,,
2011-06-21,,,
2011-06-22,,,
2011-06-23,,,
2011-06-24,,,
2011-06-27,,,
2011-06-28,,,
2011-06-29,,,
2011-06-30,59.52 ,2443.16 ,146589.50 
2011-07-01,,,
2011-07-04,,,
2011-07-06,,,
2011-07-07,,,
2011-07-08,,,
2011-07-11,,,
2011-07-12,,,
2011-07-13,,,
2011-07-14,,,
2011-07-15,,,
2011-07-18,,,
2011-07-19,,,
2011-07-20,,,
2011-07-21,,,
2011-07-22,,,
2011-07-25,,,
2011-07-26,,,
2011-07-27,,,
2011-07-28,,,
2011-07-29,,,
2011-07-31,45.26 ,2430.47 ,109371.30 
2011-08-01,,,
2011-08-02,,,
2011-08-03,,,
2011-08-04,,,
2011-08-05,,,
2011-08-08,,,
2011-08-09,,,
2011-08-10,,,
2011-08-11,,,
2011-08-12,,,
2011-08-15,,,
2011-08-16,,,
2011-08-17,,,
2011-08-18,,,
2011-08-19,,,
2011-08-22,,,
2011-08-23,,,
2011-08-24,,,
2011-08-25,,,
2011-08-26,,,
2011-08-29,,,
2011-08-30,,,
2011-08-31,67.59 ,2532.90 ,172237.50 
2011-09-01,,,
2011-09-02,,,
2011-09-05,,,
2011-09-06,,,
2011-09-07,,,
2011-09-08,,,
2011-09-09,,,
2011-09-13,,,
2011-09-14,,,
2011-09-15,,,
2011-09-16,,,
2011-09-20,,,
2011-09-21,,,
2011-09-22,,,
2011-09-23,,,
2011-09-26,,,
2011-09-27,,,
2011-09-28,,,
2011-09-29,,,
2011-09-30,56.25 ,2452.93 ,137364.00 
2011-10-10,,,
2011-10-11,,,
2011-10-12,,,
2011-10-13,,,
2011-10-14,,,
2011-10-17,,,
2011-10-18,,,
2011-10-19,,,
2011-10-20,,,
2011-10-21,,,
2011-10-24,,,
2011-10-25,,,
2011-10-27,,,
2011-10-31,51.71 ,2366.72 ,123069.40 
2011-11-01,,,
2011-11-02,,,
2011-11-03,,,
2011-11-04,,,
2011-11-07,,,
2011-11-08,,,
2011-11-09,,,
2011-11-10,,,
2011-11-11,,,
2011-11-14,,,
2011-11-15,,,
2011-11-16,,,
2011-11-17,,,
2011-11-18,,,
2011-11-21,,,
2011-11-22,,,
2011-11-23,,,
2011-11-24,,,
2011-11-25,,,
2011-11-28,,,
2011-11-29,,,
2011-11-30,67.26 ,2336.91 ,156572.80 
2011-12-01,,,
2011-12-02,,,
2011-12-05,,,
2011-12-06,,,
2011-12-07,,,
2011-12-08,,,
2011-12-09,,,
2011-12-12,,,
2011-12-13,,,
2011-12-14,,,
2011-12-15,,,
2011-12-16,,,
2011-12-19,,,
2011-12-20,,,
2011-12-21,,,
2011-12-22,,,
2011-12-23,,,
2011-12-26,,,
2011-12-27,,,
2011-12-28,,,
2011-12-29,,,
2011-12-30,,,
2011-12-31,56.31 ,2219.24 ,124277.40 
2012-01-04,,,
2012-01-05,,,
2012-01-06,,,
2012-01-09,,,
2012-01-10,,,
2012-01-11,,,
2012-01-12,,,
2012-01-31,60.18 ,2123.20 ,127391.70 
2012-02-01,,,
2012-02-02,,,
2012-02-03,,,
2012-02-06,,,
2012-02-07,,,
2012-02-08,,,
2012-02-09,,,
2012-02-10,,,
2012-02-13,,,
2012-02-14,,,
2012-02-15,,,
2012-02-16,,,
2012-02-17,,,
2012-02-20,,,
2012-02-21,,,
2012-02-22,,,
2012-02-23,,,
2012-02-24,,,
2012-02-27,,,
2012-02-28,,,
2012-02-29,62.79 ,2023.70 ,127493.40 
2012-03-01,,,
2012-03-02,,,
2012-03-05,,,
2012-03-06,,,
2012-03-07,,,
2012-03-08,,,
2012-03-09,,,
2012-03-12,,,
2012-03-13,,,
2012-03-14,,,
2012-03-15,,,
2012-03-16,,,
2012-03-19,,,
2012-03-20,,,
2012-03-21,,,
2012-03-22,,,
2012-03-23,,,
2012-03-26,,,
2012-03-27,,,
2012-03-28,,,
2012-03-29,,,
2012-03-30,,,
2012-03-31,53.06 ,2180.52 ,115567.50 
2012-04-05,,,
2012-04-06,,,
2012-04-09,,,
2012-04-10,,,
2012-04-11,,,
2012-04-12,,,
2012-04-13,,,
2012-04-16,,,
2012-04-17,,,
2012-04-18,,,
2012-04-19,,,
2012-04-20,,,
2012-04-23,,,
2012-04-24,,,
2012-04-25,,,
2012-04-26,,,
2012-04-27,,,
2012-04-30,47.49 ,2536.06 ,119194.60 
2012-05-02,,,
2012-05-03,,,
2012-05-04,,,
2012-05-07,,,
2012-05-08,,,
2012-05-09,,,
2012-05-10,,,
2012-05-11,,,
2012-05-14,,,
2012-05-15,,,
2012-05-16,,,
2012-05-17,,,
2012-05-18,,,
2012-05-21,,,
2012-05-22,,,
2012-05-23,,,
2012-05-24,,,
2012-05-25,,,
2012-05-28,,,
2012-05-29,,,
2012-05-30,,,
2012-05-31,66.79 ,2331.22 ,156191.70 
2012-06-01,,,
2012-06-04,,,
2012-06-05,,,
2012-06-06,,,
2012-06-07,,,
2012-06-08,,,
2012-06-11,,,
2012-06-12,,,
2012-06-13,,,
2012-06-14,,,
2012-06-15,,,
2012-06-18,,,
2012-06-19,,,
2012-06-20,,,
2012-06-21,,,
2012-06-25,,,
2012-06-26,,,
2012-06-27,,,
2012-06-28,,,
2012-06-29,,,
2012-06-30,48.07 ,2164.26 ,103884.60 
2012-07-02,,,
2012-07-03,,,
2012-07-04,,,
2012-07-05,,,
2012-07-06,,,
2012-07-09,,,
2012-07-10,,,
2012-07-11,,,
2012-07-12,,,
2012-07-13,,,
2012-07-16,,,
2012-07-17,,,
2012-07-18,,,
2012-07-19,,,
2012-07-20,,,
2012-07-23,,,
2012-07-24,,,
2012-07-25,,,
2012-07-26,,,
2012-07-27,,,
2012-07-30,,,
2012-07-31,56.60 ,2174.65 ,123954.80 
2012-08-01,,,
2012-08-02,,,
2012-08-03,,,
2012-08-06,,,
2012-08-07,,,
2012-08-08,,,
2012-08-09,,,
2012-08-10,,,
2012-08-13,,,
2012-08-14,,,
2012-08-15,,,
2012-08-16,,,
2012-08-17,,,
2012-08-20,,,
2012-08-21,,,
2012-08-22,,,
2012-08-23,,,
2012-08-24,,,
2012-08-27,,,
2012-08-28,,,
2012-08-29,,,
2012-08-30,,,
2012-08-31,69.45 ,1970.53 ,135966.30 
2012-09-03,,,
2012-09-04,,,
2012-09-05,,,
2012-09-06,,,
2012-09-07,,,
2012-09-10,,,
2012-09-11,,,
2012-09-12,,,
2012-09-13,,,
2012-09-14,,,
2012-09-17,,,
2012-09-18,,,
2012-09-19,,,
2012-09-20,,,
2012-09-21,,,
2012-09-24,,,
2012-09-25,,,
2012-09-26,,,
2012-09-27,,,
2012-09-28,,,
2012-09-30,70.43 ,2063.09 ,144416.00 
2012-10-08,,,
2012-10-09,,,
2012-10-10,,,
2012-10-11,,,
2012-10-12,,,
2012-10-15,,,
2012-10-16,,,
2012-10-17,,,
2012-10-18,,,
2012-10-19,,,
2012-10-22,,,
2012-10-23,,,
2012-10-24,,,
2012-10-25,,,
2012-10-26,,,
2012-10-29,,,
2012-10-30,,,
2012-10-31,71.57 ,2058.34 ,148200.30 
2012-11-01,,,
2012-11-02,,,
2012-11-05,,,
2012-11-06,,,
2012-11-07,,,
2012-11-08,,,
2012-11-09,,,
2012-11-12,,,
2012-11-13,,,
2012-11-14,,,
2012-11-15,,,
2012-11-16,,,
2012-11-19,,,
2012-11-20,,,
2012-11-21,,,
2012-11-22,,,
2012-11-23,,,
2012-11-26,,,
2012-11-27,,,
2012-11-28,,,
2012-11-29,,,
2012-11-30,83.16 ,2223.04 ,184512.30 
2012-12-03,,,
2012-12-04,,,
2012-12-05,,,
2012-12-06,,,
2012-12-07,,,
2012-12-10,,,
2012-12-11,,,
2012-12-12,,,
2012-12-13,,,
2012-12-14,,,
2012-12-17,,,
2012-12-18,,,
2012-12-19,,,
2012-12-20,,,
2012-12-21,,,
2012-12-24,,,
2012-12-25,,,
2012-12-26,,,
2012-12-27,,,
2012-12-28,,,
2012-12-31,93.53 ,2181.14 ,205027.30 
2013-01-04,,,
2013-01-07,,,
2013-01-08,,,
2013-01-09,,,
2013-01-10,,,
2013-01-11,,,
2013-01-14,,,
2013-01-15,,,
2013-01-16,,,
2013-01-17,,,
2013-01-18,,,
2013-01-21,,,
2013-01-22,,,
2013-01-23,,,
2013-01-24,,,
2013-01-25,,,
2013-01-28,,,
2013-01-29,,,
2013-01-30,,,
2013-01-31,76.11 ,2108.46 ,160242.80 
2013-02-01,,,
2013-02-04,,,
2013-02-05,,,
2013-02-06,,,
2013-02-18,,,
2013-02-19,,,
2013-02-20,,,
2013-02-21,,,
2013-02-22,,,
2013-02-25,,,
2013-02-26,,,
2013-02-27,,,
2013-02-28,68.11 ,2217.91 ,150818.20 
2013-03-01,,,
2013-03-04,,,
2013-03-05,,,
2013-03-06,,,
2013-03-07,,,
2013-03-08,,,
2013-03-11,,,
2013-03-12,,,
2013-03-13,,,
2013-03-14,,,
2013-03-15,,,
2013-03-18,,,
2013-03-19,,,
2013-03-20,,,
2013-03-21,,,
2013-03-22,,,
2013-03-25,,,
2013-03-26,,,
2013-03-27,,,
2013-03-28,,,
2013-03-29,,,
2013-03-31,77.78 ,2159.47 ,168438.30 
2013-04-01,,,
2013-04-02,,,
2013-04-03,,,
2013-04-07,,,
2013-04-08,,,
2013-04-09,,,
2013-04-10,,,
2013-04-11,,,
2013-04-12,,,
2013-04-15,,,
2013-04-16,,,
2013-04-17,,,
2013-04-18,,,
2013-04-19,,,
2013-04-22,,,
2013-04-23,,,
2013-04-24,,,
2013-04-25,,,
2013-04-26,,,
2013-04-30,84.28 ,2109.47 ,177195.40 
2013-05-02,,,
2013-05-03,,,
2013-05-06,,,
2013-05-07,,,
2013-05-08,,,
2013-05-09,,,
2013-05-10,,,
2013-05-13,,,
2013-05-14,,,
2013-05-15,,,
2013-05-16,,,
2013-05-17,,,
2013-05-20,,,
2013-05-21,,,
2013-05-22,,,
2013-05-23,,,
2013-05-24,,,
2013-05-27,,,
2013-05-28,,,
2013-05-29,,,
2013-05-30,,,
2013-05-31,72.94 ,2027.88 ,148035.30 
2013-06-03,,,
2013-06-04,,,
2013-06-05,,,
2013-06-06,,,
2013-06-07,,,
2013-06-13,,,
2013-06-14,,,
2013-06-17,,,
2013-06-18,,,
2013-06-19,,,
2013-06-20,,,
2013-06-21,,,
2013-06-24,,,
2013-06-25,,,
2013-06-26,,,
2013-06-27,,,
2013-06-28,,,
2013-06-30,67.35 ,1965.29 ,131674.40 
2013-07-01,,,
2013-07-02,,,
2013-07-03,,,
2013-07-04,,,
2013-07-05,,,
2013-07-08,,,
2013-07-09,,,
2013-07-10,,,
2013-07-11,,,
2013-07-12,,,
2013-07-15,,,
2013-07-16,,,
2013-07-17,,,
2013-07-18,,,
2013-07-19,,,
2013-07-22,,,
2013-07-23,,,
2013-07-24,,,
2013-07-25,,,
2013-07-26,,,
2013-07-29,,,
2013-07-30,,,
2013-07-31,93.85 ,1930.25 ,181443.80 
2013-08-01,,,
2013-08-02,,,
2013-08-05,,,
2013-08-06,,,
2013-08-07,,,
2013-08-08,,,
2013-08-09,,,
2013-08-12,,,
2013-08-13,,,
2013-08-14,,,
2013-08-15,,,
2013-08-16,,,
2013-08-19,,,
2013-08-20,,,
2013-08-21,,,
2013-08-22,,,
2013-08-23,,,
2013-08-26,,,
2013-08-27,,,
2013-08-28,,,
2013-08-29,,,
2013-08-30,,,
2013-08-31,75.24 ,1871.50 ,140362.20 
2013-09-02,,,
2013-09-03,,,
2013-09-04,,,
2013-09-05,,,
2013-09-06,,,
2013-09-09,,,
2013-09-10,,,
2013-09-11,,,
2013-09-12,,,
2013-09-13,,,
2013-09-16,,,
2013-09-17,,,
2013-09-18,,,
2013-09-22,,,
2013-09-23,,,
2013-09-24,,,
2013-09-25,,,
2013-09-26,,,
2013-09-27,,,
2013-09-29,,,
2013-09-30,101.83 ,1782.15 ,181779.30 
2013-10-08,,,
2013-10-09,,,
2013-10-10,,,
2013-10-11,,,
2013-10-14,,,
2013-10-15,,,
2013-10-16,,,
2013-10-17,,,
2013-10-18,,,
2013-10-21,,,
2013-10-22,,,
2013-10-23,,,
2013-10-24,,,
2013-10-25,,,
2013-10-28,,,
2013-10-29,,,
2013-10-30,,,
2013-10-31,94.43 ,1907.16 ,179272.80 
2013-11-01,,,
2013-11-04,,,
2013-11-05,,,
2013-11-06,,,
2013-11-07,,,
2013-11-08,,,
2013-11-11,,,
2013-11-12,,,
2013-11-13,,,
2013-11-14,,,
2013-11-15,,,
2013-11-18,,,
2013-11-19,,,
2013-11-20,,,
2013-11-21,,,
2013-11-22,,,
2013-11-25,,,
2013-11-26,,,
2013-11-27,,,
2013-11-28,,,
2013-11-29,,,
2013-11-30,92.09 ,1967.78 ,181035.60 
2013-12-02,,,
2013-12-03,,,
2013-12-04,,,
2013-12-05,,,
2013-12-06,,,
2013-12-09,,,
2013-12-10,,,
2013-12-11,,,
2013-12-12,,,
2013-12-13,,,
2013-12-16,,,
2013-12-17,,,
2013-12-18,,,
2013-12-19,,,
2013-12-20,,,
2013-12-23,,,
2013-12-24,,,
2013-12-25,,,
2013-12-26,,,
2013-12-27,,,
2013-12-30,,,
2013-12-31,103.98 ,1943.59 ,202133.60 
2014-01-02,,,
2014-01-03,,,
2014-01-06,,,
2014-01-07,,,
2014-01-08,,,
2014-01-09,,,
2014-01-10,,,
2014-01-13,,,
2014-01-14,,,
2014-01-15,,,
2014-01-16,,,
2014-01-17,,,
2014-01-20,,,
2014-01-21,,,
2014-01-22,,,
2014-01-23,,,
2014-01-24,,,
2014-01-27,,,
2014-01-31,103.96 ,1881.09 ,195566.02 
2014-02-07,,,
2014-02-10,,,
2014-02-11,,,
2014-02-12,,,
2014-02-13,,,
2014-02-14,,,
2014-02-17,,,
2014-02-18,,,
2014-02-19,,,
2014-02-20,,,
2014-02-21,,,
2014-02-24,,,
2014-02-25,,,
2014-02-26,,,
2014-02-27,,,
2014-02-28,76.38 ,1939.95 ,148166.06 
2014-03-03,,,
2014-03-04,,,
2014-03-05,,,
2014-03-06,,,
2014-03-07,,,
2014-03-10,,,
2014-03-11,,,
2014-03-12,,,
2014-03-13,,,
2014-03-14,,,
2014-03-17,,,
2014-03-18,,,
2014-03-19,,,
2014-03-20,,,
2014-03-21,,,
2014-03-24,,,
2014-03-25,,,
2014-03-26,,,
2014-03-27,,,
2014-03-28,,,
2014-03-31,93.54 ,1953.97 ,182766.27 
2014-04-01,,,
2014-04-02,,,
2014-04-03,,,
2014-04-04,,,
2014-04-08,,,
2014-04-09,,,
2014-04-10,,,
2014-04-11,,,
2014-04-14,,,
2014-04-15,,,
2014-04-16,,,
2014-04-17,,,
2014-04-18,,,
2014-04-21,,,
2014-04-22,,,
2014-04-23,,,
2014-04-24,,,
2014-04-25,,,
2014-04-28,,,
2014-04-29,,,
2014-04-30,99.91 ,1890.59 ,188893.63 
2014-05-04,,,
2014-05-05,,,
2014-05-06,,,
2014-05-07,,,
2014-05-08,,,
2014-05-09,,,
2014-05-12,,,
2014-05-13,,,
2014-05-14,,,
2014-05-15,,,
2014-05-16,,,
2014-05-19,,,
2014-05-20,,,
2014-05-21,,,
2014-05-22,,,
2014-05-23,,,
2014-05-26,,,
2014-05-27,,,
2014-05-28,,,
2014-05-29,,,
2014-05-30,,,
2014-05-31,70.56 ,1707.31 ,120469.82 
2014-06-03,,,
2014-06-04,,,
2014-06-05,,,
2014-06-06,,,
2014-06-09,,,
2014-06-10,,,
2014-06-11,,,
2014-06-12,,,
2014-06-13,,,
2014-06-16,,,
2014-06-17,,,
2014-06-18,,,
2014-06-19,,,
2014-06-20,,,
2014-06-23,,,
2014-06-24,,,
2014-06-25,,,
2014-06-26,,,
2014-06-27,,,
2014-06-30,99.04 ,1754.79 ,173796.40 
2014-07-01,,,
2014-07-02,,,
2014-07-03,,,
2014-07-04,,,
2014-07-07,,,
2014-07-08,,,
2014-07-09,,,
2014-07-10,,,
2014-07-11,,,
2014-07-14,,,
2014-07-15,,,
2014-07-16,,,
2014-07-17,,,
2014-07-18,,,
2014-07-21,,,
2014-07-22,,,
2014-07-23,,,
2014-07-24,,,
2014-07-25,,,
2014-07-28,,,
2014-07-29,,,
2014-07-30,,,
2014-07-31,90.11 ,1801.49 ,162339.94 
2014-08-01,,,
2014-08-04,,,
2014-08-05,,,
2014-08-06,,,
2014-08-07,,,
2014-08-08,,,
2014-08-11,,,
2014-08-12,,,
2014-08-13,,,
2014-08-14,,,
2014-08-15,,,
2014-08-18,,,
2014-08-19,,,
2014-08-20,,,
2014-08-21,,,
2014-08-22,,,
2014-08-25,,,
2014-08-26,,,
2014-08-27,,,
2014-08-28,,,
2014-08-29,,,
2014-08-31,96.01 ,1844.30 ,177077.94 
2014-09-01,,,
2014-09-02,,,
2014-09-03,,,
2014-09-04,,,
2014-09-05,,,
2014-09-09,,,
2014-09-10,,,
2014-09-11,,,
2014-09-12,,,
2014-09-15,,,
2014-09-16,,,
2014-09-17,,,
2014-09-18,,,
2014-09-19,,,
2014-09-22,,,
2014-09-23,,,
2014-09-24,,,
2014-09-25,,,
2014-09-26,,,
2014-09-28,,,
2014-09-29,,,
2014-09-30,128.96 ,1820.55 ,234775.22 
2014-10-08,,,
2014-10-09,,,
2014-10-10,,,
2014-10-11,,,
2014-10-13,,,
2014-10-14,,,
2014-10-15,,,
2014-10-16,,,
2014-10-17,,,
2014-10-20,,,
2014-10-21,,,
2014-10-22,,,
2014-10-23,,,
2014-10-24,,,
2014-10-27,,,
2014-10-28,,,
2014-10-29,,,
2014-10-30,,,
2014-10-31,95.63 ,1845.33 ,176470.92 
2014-11-03,,,
2014-11-04,,,
2014-11-05,,,
2014-11-06,,,
2014-11-07,,,
2014-11-10,,,
2014-11-11,,,
2014-11-12,,,
2014-11-13,,,
2014-11-14,,,
2014-11-17,,,
2014-11-18,,,
2014-11-19,,,
2014-11-20,,,
2014-11-21,,,
2014-11-24,,,
2014-11-25,,,
2014-11-26,,,
2014-11-27,,,
2014-11-28,,,
2014-11-30,115.37 ,1787.16 ,206189.67 
2014-12-01,,,
2014-12-02,,,
2014-12-03,,,
2014-12-04,,,
2014-12-05,,,
2014-12-08,,,
2014-12-09,,,
2014-12-10,,,
2014-12-11,,,
2014-12-12,,,
2014-12-15,,,
2014-12-16,,,
2014-12-17,,,
2014-12-18,,,
2014-12-19,,,
2014-12-22,,,
2014-12-23,,,
2014-12-24,,,
2014-12-25,,,
2014-12-26,,,
2014-12-29,,,
2014-12-30,,,
2014-12-31,116.70 ,1862.57 ,217360.99 
2015-01-04,,,
2015-01-05,,,
2015-01-06,,,
2015-01-07,,,
2015-01-08,,,
2015-01-09,,,
2015-01-12,,,
2015-01-13,,,
2015-01-14,,,
2015-01-15,,,
2015-01-16,,,
2015-01-19,,,
2015-01-20,,,
2015-01-21,,,
2015-01-22,,,
2015-01-23,,,
2015-01-26,,,
2015-01-27,,,
2015-01-28,,,
2015-01-29,,,
2015-01-30,,,
2015-01-31,92.79 ,1727.74 ,160320.29 
2015-02-02,,,
2015-02-03,,,
2015-02-04,,,
2015-02-05,,,
2015-02-06,,,
2015-02-09,,,
2015-02-10,,,
2015-02-11,,,
2015-02-12,,,
2015-02-13,,,
2015-02-25,,,
2015-02-26,,,
2015-02-27,,,
2015-02-28,75.77 ,1645.06 ,124639.71 
2015-03-02,,,
2015-03-03,,,
2015-03-04,,,
2015-03-05,,,
2015-03-06,,,
2015-03-09,,,
2015-03-10,,,
2015-03-11,,,
2015-03-12,,,
2015-03-13,,,
2015-03-16,,,
2015-03-17,,,
2015-03-18,,,
2015-03-19,,,
2015-03-20,,,
2015-03-23,,,
2015-03-24,,,
2015-03-25,,,
2015-03-26,,,
2015-03-27,,,
2015-03-30,,,
2015-03-31,132.26 ,1537.84 ,203389.07 
2015-04-01,,,
2015-04-02,,,
2015-04-03,,,
2015-04-07,,,
2015-04-08,,,
2015-04-09,,,
2015-04-10,,,
2015-04-13,,,
2015-04-14,,,
2015-04-15,,,
2015-04-16,,,
2015-04-17,,,
2015-04-20,,,
2015-04-21,,,
2015-04-22,,,
2015-04-23,,,
2015-04-24,,,
2015-04-27,,,
2015-04-28,,,
2015-04-29,,,
2015-04-30,103.93 ,1468.57 ,152635.25 
2015-05-04,,,
2015-05-05,,,
2015-05-06,,,
2015-05-07,,,
2015-05-08,,,
2015-05-11,,,
2015-05-12,,,
2015-05-13,,,
2015-05-14,,,
2015-05-15,,,
2015-05-18,,,
2015-05-19,,,
2015-05-20,,,
2015-05-21,,,
2015-05-22,,,
2015-05-25,,,
2015-05-26,,,
2015-05-27,,,
2015-05-28,,,
2015-05-29,,,
2015-05-31,98.43 ,1540.89 ,151673.54 
2015-06-01,,,
2015-06-02,,,
2015-06-03,,,
2015-06-04,,,
2015-06-05,,,
