指标名称,申万行业指数:彩电,申万行业指数:视听器材
2010-06-03,770.67 ,797.12 
2010-06-04,781.46 ,808.12 
2010-06-07,766.02 ,792.98 
2010-06-08,767.61 ,795.01 
2010-06-09,785.64 ,814.26 
2010-06-10,798.81 ,826.95 
2010-06-11,798.45 ,827.22 
2010-06-17,793.65 ,822.25 
2010-06-18,761.50 ,788.70 
2010-06-21,784.43 ,812.43 
2010-06-22,786.15 ,814.94 
2010-06-23,782.01 ,810.84 
2010-06-24,788.12 ,817.31 
2010-06-25,775.44 ,804.23 
2010-06-28,764.63 ,793.82 
2010-06-29,719.30 ,746.01 
2010-06-30,698.97 ,725.27 
2010-07-01,692.75 ,718.61 
2010-07-02,695.23 ,721.36 
2010-07-05,689.04 ,714.64 
2010-07-06,704.31 ,730.74 
2010-07-07,732.04 ,759.51 
2010-07-08,721.33 ,749.00 
2010-07-09,732.98 ,761.29 
2010-07-12,737.21 ,765.45 
2010-07-13,718.64 ,746.95 
2010-07-14,726.29 ,755.62 
2010-07-15,715.13 ,743.43 
2010-07-16,711.04 ,739.72 
2010-07-19,725.83 ,755.46 
2010-07-20,754.63 ,784.45 
2010-07-21,757.55 ,787.08 
2010-07-22,763.07 ,792.87 
2010-07-23,762.41 ,792.44 
2010-07-26,765.50 ,795.43 
2010-07-27,763.31 ,793.34 
2010-07-28,782.18 ,812.64 
2010-07-29,782.00 ,813.24 
2010-07-30,774.91 ,806.30 
2010-08-02,791.17 ,822.81 
2010-08-03,779.78 ,810.63 
2010-08-04,780.11 ,810.70 
2010-08-05,774.88 ,805.65 
2010-08-06,793.59 ,824.97 
2010-08-09,802.53 ,834.96 
2010-08-10,771.72 ,803.93 
2010-08-11,774.37 ,807.08 
2010-08-12,758.69 ,791.10 
2010-08-13,771.62 ,804.32 
2010-08-16,783.25 ,816.33 
2010-08-17,794.11 ,827.25 
2010-08-18,786.22 ,819.98 
2010-08-19,788.42 ,821.69 
2010-08-20,773.40 ,805.57 
2010-08-23,771.08 ,803.04 
2010-08-24,789.48 ,822.04 
2010-08-25,777.73 ,809.92 
2010-08-26,795.58 ,827.50 
2010-08-27,782.94 ,815.10 
2010-08-30,792.23 ,825.01 
2010-08-31,785.61 ,818.70 
2010-09-01,776.38 ,808.36 
2010-09-02,783.48 ,816.25 
2010-09-03,785.92 ,821.25 
2010-09-06,790.58 ,825.15 
2010-09-07,789.49 ,824.38 
2010-09-08,798.81 ,834.31 
2010-09-09,778.35 ,813.10 
2010-09-10,774.66 ,809.38 
2010-09-13,778.97 ,814.04 
2010-09-14,777.14 ,812.52 
2010-09-15,768.45 ,803.58 
2010-09-16,751.12 ,786.30 
2010-09-17,750.97 ,786.90 
2010-09-20,752.85 ,789.60 
2010-09-21,752.06 ,787.25 
2010-09-27,765.61 ,800.90 
2010-09-28,767.61 ,801.75 
2010-09-29,755.59 ,789.92 
2010-09-30,758.28 ,794.02 
2010-10-08,768.69 ,805.03 
2010-10-11,775.50 ,811.04 
2010-10-12,776.14 ,812.07 
2010-10-13,796.94 ,832.74 
2010-10-14,776.24 ,814.71 
2010-10-15,781.53 ,821.04 
2010-10-18,798.25 ,834.03 
2010-10-19,803.52 ,842.18 
2010-10-20,797.69 ,835.14 
2010-10-21,799.67 ,836.10 
2010-10-22,820.73 ,857.93 
2010-10-25,830.96 ,868.49 
2010-10-26,821.27 ,860.08 
2010-10-27,807.28 ,847.05 
2010-10-28,800.58 ,839.78 
2010-10-29,803.10 ,843.41 
2010-11-01,808.61 ,849.09 
2010-11-02,796.35 ,836.15 
2010-11-03,792.68 ,832.13 
2010-11-04,803.39 ,844.54 
2010-11-05,809.69 ,852.59 
2010-11-08,824.20 ,867.66 
2010-11-09,829.94 ,872.74 
2010-11-10,818.80 ,864.71 
2010-11-11,815.63 ,858.77 
2010-11-12,768.72 ,810.64 
2010-11-15,781.94 ,821.61 
2010-11-16,754.85 ,791.77 
2010-11-17,739.94 ,776.72 
2010-11-18,745.09 ,782.15 
2010-11-19,755.13 ,794.79 
2010-11-22,770.62 ,811.49 
2010-11-23,751.61 ,790.49 
2010-11-24,763.91 ,804.94 
2010-11-25,767.91 ,808.77 
2010-11-26,759.56 ,800.25 
2010-11-29,756.61 ,796.73 
2010-11-30,740.20 ,782.59 
2010-12-01,736.55 ,777.87 
2010-12-02,740.18 ,783.20 
2010-12-03,741.92 ,783.91 
2010-12-06,738.20 ,779.00 
2010-12-07,742.02 ,782.38 
2010-12-08,738.26 ,778.71 
2010-12-09,725.42 ,765.18 
2010-12-10,730.22 ,769.67 
2010-12-13,749.58 ,789.87 
2010-12-14,750.95 ,793.46 
2010-12-15,750.83 ,792.40 
2010-12-16,748.66 ,791.43 
2010-12-17,744.44 ,790.27 
2010-12-20,733.64 ,780.33 
2010-12-21,742.22 ,787.72 
2010-12-22,736.61 ,781.60 
2010-12-23,737.44 ,779.47 
2010-12-24,727.68 ,767.82 
2010-12-27,714.68 ,752.80 
2010-12-28,705.98 ,742.03 
2010-12-29,708.72 ,746.22 
2010-12-30,706.90 ,744.45 
2010-12-31,712.18 ,750.76 
2011-01-04,719.79 ,758.97 
2011-01-05,716.30 ,757.27 
2011-01-06,733.55 ,772.13 
2011-01-07,732.47 ,770.44 
2011-01-10,724.91 ,760.43 
2011-01-11,741.17 ,775.43 
2011-01-12,758.18 ,791.63 
2011-01-13,761.83 ,795.21 
2011-01-14,763.92 ,795.67 
2011-01-17,745.50 ,776.17 
2011-01-18,760.24 ,789.93 
2011-01-19,774.03 ,804.07 
2011-01-20,747.55 ,776.33 
2011-01-21,758.44 ,787.69 
2011-01-24,775.13 ,801.26 
2011-01-25,756.44 ,783.10 
2011-01-26,762.10 ,790.13 
2011-01-27,767.26 ,795.17 
2011-01-28,774.35 ,801.81 
2011-01-31,779.01 ,806.70 
2011-02-01,776.52 ,804.09 
2011-02-09,784.81 ,812.12 
2011-02-10,808.58 ,836.61 
2011-02-11,802.15 ,835.86 
2011-02-14,812.13 ,846.31 
2011-02-15,811.48 ,850.44 
2011-02-16,841.02 ,878.43 
2011-02-17,833.44 ,872.97 
2011-02-18,818.22 ,860.22 
2011-02-21,846.36 ,889.04 
2011-02-22,833.02 ,873.46 
2011-02-23,850.62 ,890.99 
2011-02-24,840.79 ,881.58 
2011-02-25,851.35 ,891.91 
2011-02-28,890.80 ,929.43 
2011-03-01,882.62 ,924.52 
2011-03-02,877.40 ,916.50 
2011-03-03,865.10 ,904.33 
2011-03-04,882.77 ,923.10 
2011-03-07,896.84 ,936.53 
2011-03-08,898.75 ,938.79 
2011-03-09,900.44 ,941.53 
2011-03-10,890.05 ,932.39 
2011-03-11,886.58 ,935.79 
2011-03-14,887.75 ,941.08 
2011-03-15,868.00 ,922.47 
2011-03-16,910.01 ,965.65 
2011-03-17,882.52 ,938.35 
2011-03-18,884.54 ,937.39 
2011-03-21,882.43 ,933.49 
2011-03-22,880.81 ,931.65 
2011-03-23,892.92 ,950.62 
2011-03-24,886.67 ,945.15 
2011-03-25,888.88 ,949.01 
2011-03-28,900.04 ,959.99 
2011-03-29,897.06 ,954.36 
2011-03-30,899.46 ,952.44 
2011-03-31,868.28 ,925.97 
2011-04-01,877.64 ,935.22 
2011-04-06,880.16 ,932.25 
2011-04-07,887.01 ,939.37 
2011-04-08,898.87 ,953.24 
2011-04-11,903.10 ,957.29 
2011-04-12,920.10 ,971.70 
2011-04-13,942.54 ,992.76 
2011-04-14,963.27 ,1015.99 
2011-04-15,959.14 ,1009.22 
2011-04-18,952.52 ,1005.48 
2011-04-19,982.43 ,1035.17 
2011-04-20,967.99 ,1028.36 
2011-04-21,993.38 ,1056.63 
2011-04-22,983.80 ,1045.66 
2011-04-25,1001.55 ,1054.26 
2011-04-26,948.32 ,1000.54 
2011-04-27,960.60 ,1010.31 
2011-04-28,931.94 ,977.04 
2011-04-29,939.50 ,985.54 
2011-05-03,948.69 ,994.12 
2011-05-04,930.10 ,977.13 
2011-05-05,932.80 ,980.74 
2011-05-06,972.68 ,1019.77 
2011-05-09,977.96 ,1025.66 
2011-05-10,977.39 ,1023.97 
2011-05-11,988.26 ,1033.66 
2011-05-12,964.82 ,1008.98 
2011-05-13,964.08 ,1006.64 
2011-05-16,982.63 ,1025.14 
2011-05-17,1002.14 ,1042.26 
2011-05-18,986.36 ,1026.27 
2011-05-19,979.47 ,1019.29 
2011-05-20,976.19 ,1014.76 
2011-05-23,937.59 ,975.37 
2011-05-24,918.65 ,954.93 
2011-05-25,915.77 ,950.83 
2011-05-26,895.52 ,930.81 
2011-05-27,861.55 ,896.87 
2011-05-30,845.24 ,879.05 
2011-05-31,871.65 ,905.64 
2011-06-01,870.40 ,907.23 
2011-06-02,856.90 ,893.66 
2011-06-03,867.93 ,907.61 
2011-06-07,877.08 ,918.16 
2011-06-08,912.36 ,950.44 
2011-06-09,927.48 ,963.09 
2011-06-10,909.97 ,946.70 
2011-06-13,915.99 ,952.06 
2011-06-14,926.91 ,962.74 
2011-06-15,915.33 ,951.45 
2011-06-16,899.86 ,932.41 
2011-06-17,883.38 ,916.04 
2011-06-20,877.12 ,907.53 
2011-06-21,890.88 ,922.23 
2011-06-22,890.92 ,921.27 
2011-06-23,903.79 ,935.21 
2011-06-24,925.81 ,958.56 
2011-06-27,929.64 ,963.63 
2011-06-28,938.24 ,972.98 
2011-06-29,917.29 ,951.68 
2011-06-30,926.79 ,960.95 
2011-07-01,925.95 ,962.38 
2011-07-04,947.08 ,984.67 
2011-07-05,942.71 ,982.04 
2011-07-06,950.26 ,988.26 
2011-07-07,939.92 ,977.83 
2011-07-08,947.46 ,984.51 
2011-07-11,953.45 ,992.27 
2011-07-12,938.04 ,976.46 
2011-07-13,954.23 ,994.29 
2011-07-14,965.72 ,1004.58 
2011-07-15,964.21 ,1001.75 
2011-07-18,953.14 ,990.88 
2011-07-19,934.48 ,969.93 
2011-07-20,937.42 ,972.73 
2011-07-21,928.20 ,962.09 
2011-07-22,935.47 ,970.22 
2011-07-25,912.27 ,943.65 
2011-07-26,931.09 ,961.69 
2011-07-27,931.49 ,964.73 
2011-07-28,912.68 ,949.25 
2011-07-29,904.79 ,939.71 
2011-08-01,917.14 ,951.06 
2011-08-02,923.80 ,956.89 
2011-08-03,917.78 ,950.21 
2011-08-04,912.58 ,945.85 
2011-08-05,886.09 ,918.68 
2011-08-08,838.14 ,868.10 
2011-08-09,831.78 ,860.74 
2011-08-10,833.48 ,864.19 
2011-08-11,847.57 ,878.91 
2011-08-12,858.25 ,891.08 
2011-08-15,860.08 ,894.99 
2011-08-16,849.37 ,884.52 
2011-08-17,849.81 ,884.50 
2011-08-18,823.95 ,858.32 
2011-08-19,816.86 ,850.13 
2011-08-22,814.64 ,847.05 
2011-08-23,827.61 ,861.42 
2011-08-24,826.11 ,860.77 
2011-08-25,848.35 ,883.04 
2011-08-26,842.85 ,879.04 
2011-08-29,837.08 ,874.94 
2011-08-30,827.03 ,864.12 
2011-08-31,822.60 ,858.33 
2011-09-01,815.84 ,851.98 
2011-09-02,812.21 ,846.99 
2011-09-05,792.95 ,826.47 
2011-09-06,786.15 ,820.31 
2011-09-07,803.31 ,839.00 
2011-09-08,793.15 ,829.61 
2011-09-09,793.66 ,830.73 
2011-09-13,779.91 ,816.65 
2011-09-14,781.31 ,819.19 
2011-09-15,782.20 ,820.08 
2011-09-16,779.98 ,817.14 
2011-09-19,763.69 ,801.33 
2011-09-20,767.21 ,805.93 
2011-09-21,785.29 ,825.74 
2011-09-22,761.63 ,801.11 
2011-09-23,761.77 ,799.71 
2011-09-26,768.19 ,804.59 
2011-09-27,772.96 ,809.25 
2011-09-28,761.75 ,799.63 
2011-09-29,745.85 ,780.72 
2011-09-30,743.77 ,778.26 
2011-10-10,745.79 ,780.58 
2011-10-11,751.43 ,784.40 
2011-10-12,773.10 ,806.52 
2011-10-13,789.31 ,822.00 
2011-10-14,783.95 ,816.15 
2011-10-17,779.46 ,809.05 
2011-10-18,760.54 ,787.48 
2011-10-19,753.44 ,780.70 
2011-10-20,729.87 ,757.58 
2011-10-21,731.54 ,758.49 
2011-10-24,745.85 ,772.67 
2011-10-25,761.12 ,789.01 
2011-10-26,770.87 ,798.72 
2011-10-27,763.53 ,791.00 
2011-10-28,776.39 ,805.21 
2011-10-31,772.87 ,802.33 
2011-11-01,776.90 ,805.95 
2011-11-02,788.75 ,818.34 
2011-11-03,791.21 ,821.64 
2011-11-04,795.69 ,828.59 
2011-11-07,787.23 ,821.14 
2011-11-08,780.11 ,815.47 
2011-11-09,781.92 ,817.76 
2011-11-10,763.99 ,799.78 
2011-11-11,766.87 ,803.21 
2011-11-14,777.86 ,814.94 
2011-11-15,778.65 ,815.04 
2011-11-16,773.31 ,807.39 
2011-11-17,766.47 ,801.09 
2011-11-18,748.17 ,780.84 
2011-11-21,746.83 ,779.65 
2011-11-22,743.59 ,776.22 
2011-11-23,736.56 ,769.68 
2011-11-24,734.96 ,767.02 
2011-11-25,731.77 ,764.06 
2011-11-28,729.04 ,762.66 
2011-11-29,734.10 ,768.26 
2011-11-30,709.10 ,743.16 
2011-12-01,721.03 ,755.64 
2011-12-02,712.74 ,745.14 
2011-12-05,699.71 ,730.06 
2011-12-06,699.15 ,732.44 
2011-12-07,700.91 ,734.18 
2011-12-08,696.88 ,729.62 
2011-12-09,688.66 ,720.80 
2011-12-12,682.34 ,715.00 
2011-12-13,654.01 ,686.02 
2011-12-14,640.46 ,670.22 
2011-12-15,622.44 ,651.07 
2011-12-16,641.34 ,670.00 
2011-12-19,645.56 ,672.39 
2011-12-20,641.79 ,668.75 
2011-12-21,636.02 ,660.54 
2011-12-22,628.55 ,648.95 
2011-12-23,634.05 ,657.52 
2011-12-26,634.89 ,656.67 
2011-12-27,624.69 ,644.92 
2011-12-28,637.11 ,655.53 
2011-12-29,636.46 ,656.53 
2011-12-30,646.71 ,667.17 
2012-01-04,638.65 ,659.26 
2012-01-05,637.93 ,654.76 
2012-01-06,640.46 ,657.42 
2012-01-09,658.46 ,676.72 
2012-01-10,699.48 ,718.43 
2012-01-11,695.73 ,714.86 
2012-01-12,686.73 ,706.70 
2012-01-13,691.33 ,709.59 
2012-01-16,680.59 ,697.68 
2012-01-17,714.35 ,732.91 
2012-01-18,699.28 ,717.23 
2012-01-19,708.50 ,725.71 
2012-01-20,715.14 ,732.61 
2012-01-30,705.83 ,723.99 
2012-01-31,702.87 ,721.85 
2012-02-01,701.96 ,721.02 
2012-02-02,717.56 ,736.77 
2012-02-03,722.85 ,743.54 
2012-02-06,719.99 ,741.47 
2012-02-07,712.18 ,733.29 
2012-02-08,724.48 ,746.44 
2012-02-09,729.70 ,752.93 
2012-02-10,731.63 ,754.04 
2012-02-13,733.08 ,756.02 
2012-02-14,726.87 ,750.48 
2012-02-15,740.85 ,764.53 
2012-02-16,734.43 ,762.02 
2012-02-17,738.75 ,764.02 
2012-02-20,769.41 ,791.96 
2012-02-21,790.13 ,811.76 
2012-02-22,822.98 ,842.43 
2012-02-23,820.61 ,840.62 
2012-02-24,824.75 ,844.48 
2012-02-27,864.16 ,880.56 
2012-02-28,867.17 ,883.93 
2012-02-29,862.18 ,879.21 
2012-03-01,863.85 ,880.81 
2012-03-02,897.26 ,912.35 
2012-03-05,902.44 ,917.19 
2012-03-06,895.39 ,909.82 
2012-03-07,886.08 ,901.41 
2012-03-08,890.39 ,907.45 
2012-03-09,889.29 ,908.50 
2012-03-12,890.13 ,912.64 
2012-03-13,885.74 ,910.31 
2012-03-14,832.38 ,857.20 
2012-03-15,817.74 ,843.42 
2012-03-16,828.37 ,855.57 
2012-03-19,823.93 ,852.32 
2012-03-20,815.93 ,842.98 
2012-03-21,819.73 ,845.16 
2012-03-22,828.09 ,853.58 
2012-03-23,810.36 ,836.42 
2012-03-26,814.46 ,838.73 
2012-03-27,813.50 ,838.56 
2012-03-28,769.63 ,794.02 
2012-03-29,756.82 ,779.69 
2012-03-30,759.49 ,780.84 
2012-04-05,784.58 ,806.67 
2012-04-06,791.28 ,813.61 
2012-04-09,774.29 ,797.40 
2012-04-10,809.40 ,830.83 
2012-04-11,822.08 ,842.76 
2012-04-12,832.64 ,854.09 
2012-04-13,834.72 ,857.37 
2012-04-16,826.19 ,849.26 
2012-04-17,815.68 ,839.02 
2012-04-18,833.51 ,857.04 
2012-04-19,826.43 ,850.27 
2012-04-20,830.10 ,853.49 
2012-04-23,799.94 ,820.65 
2012-04-24,787.69 ,803.85 
2012-04-25,791.05 ,807.88 
2012-04-26,789.45 ,806.47 
2012-04-27,781.82 ,799.92 
2012-05-02,797.24 ,814.18 
2012-05-03,792.99 ,808.42 
2012-05-04,812.30 ,826.58 
2012-05-07,812.51 ,827.72 
2012-05-08,810.80 ,827.15 
2012-05-09,787.55 ,804.51 
2012-05-10,790.60 ,808.86 
2012-05-11,789.22 ,806.73 
2012-05-14,789.97 ,807.23 
2012-05-15,816.32 ,831.00 
2012-05-16,812.43 ,827.01 
2012-05-17,816.47 ,831.69 
2012-05-18,795.97 ,812.35 
2012-05-21,800.93 ,816.27 
2012-05-22,805.65 ,821.55 
2012-05-23,802.74 ,818.16 
2012-05-24,796.08 ,810.62 
2012-05-25,791.11 ,805.21 
2012-05-28,796.29 ,810.33 
2012-05-29,817.90 ,830.70 
2012-05-30,814.71 ,828.26 
2012-05-31,818.93 ,833.02 
2012-06-01,812.76 ,828.04 
2012-06-04,791.61 ,807.25 
2012-06-05,788.65 ,804.58 
2012-06-06,783.55 ,800.39 
2012-06-07,776.22 ,794.68 
2012-06-08,775.14 ,792.77 
2012-06-11,787.34 ,804.25 
2012-06-12,775.46 ,793.82 
2012-06-13,785.88 ,804.73 
2012-06-14,780.76 ,798.97 
2012-06-15,784.37 ,802.05 
2012-06-18,789.46 ,806.86 
2012-06-19,782.42 ,801.71 
2012-06-20,781.93 ,801.55 
2012-06-21,766.42 ,786.48 
2012-06-25,754.87 ,775.33 
2012-06-26,754.82 ,775.71 
2012-06-27,752.89 ,775.38 
2012-06-28,741.58 ,763.56 
2012-06-29,749.88 ,772.09 
2012-07-02,754.22 ,776.42 
2012-07-03,756.08 ,777.36 
2012-07-04,746.77 ,767.84 
2012-07-05,734.32 ,750.91 
2012-07-06,738.10 ,755.05 
2012-07-09,706.61 ,727.06 
2012-07-10,698.17 ,719.34 
2012-07-11,704.57 ,725.99 
2012-07-12,713.91 ,734.80 
2012-07-13,709.38 ,730.86 
2012-07-16,680.93 ,701.80 
2012-07-17,688.67 ,710.61 
2012-07-18,694.09 ,716.27 
2012-07-19,698.13 ,720.93 
2012-07-20,698.00 ,719.30 
2012-07-23,687.08 ,708.96 
2012-07-24,692.34 ,714.35 
2012-07-25,684.51 ,706.07 
2012-07-26,684.10 ,705.49 
2012-07-27,681.91 ,703.60 
2012-07-30,673.50 ,694.48 
2012-07-31,666.30 ,686.50 
2012-08-01,672.11 ,691.86 
2012-08-02,666.62 ,686.56 
2012-08-03,673.65 ,693.63 
2012-08-06,684.22 ,705.03 
2012-08-07,689.31 ,710.93 
2012-08-08,691.49 ,712.84 
2012-08-09,697.37 ,718.66 
2012-08-10,688.45 ,710.16 
2012-08-13,673.29 ,695.52 
2012-08-14,679.04 ,701.27 
2012-08-15,675.60 ,698.70 
2012-08-16,669.95 ,691.78 
2012-08-17,674.17 ,695.30 
2012-08-20,669.05 ,690.91 
2012-08-21,674.34 ,696.92 
2012-08-22,671.06 ,693.97 
2012-08-23,674.63 ,697.73 
2012-08-24,666.25 ,688.00 
2012-08-27,655.18 ,677.07 
2012-08-28,659.89 ,681.38 
2012-08-29,657.06 ,681.02 
2012-08-30,654.54 ,678.15 
2012-08-31,658.52 ,682.47 
2012-09-03,669.46 ,693.07 
2012-09-04,661.63 ,686.07 
2012-09-05,661.43 ,686.55 
2012-09-06,667.94 ,693.45 
2012-09-07,689.59 ,715.59 
2012-09-10,695.12 ,722.05 
2012-09-11,689.88 ,716.70 
2012-09-12,694.58 ,722.79 
2012-09-13,690.13 ,717.80 
2012-09-14,714.25 ,739.48 
2012-09-17,692.69 ,717.99 
2012-09-18,688.19 ,714.10 
2012-09-19,707.47 ,732.75 
2012-09-20,688.40 ,713.47 
2012-09-21,681.63 ,706.46 
2012-09-24,682.12 ,707.74 
2012-09-25,680.05 ,705.60 
2012-09-26,667.54 ,692.50 
2012-09-27,684.95 ,709.60 
2012-09-28,697.05 ,720.96 
2012-10-08,690.03 ,714.95 
2012-10-09,706.44 ,732.19 
2012-10-10,718.19 ,744.68 
2012-10-11,712.04 ,738.66 
2012-10-12,710.32 ,737.01 
2012-10-15,711.53 ,737.85 
2012-10-16,708.27 ,735.63 
2012-10-17,708.19 ,734.86 
2012-10-18,719.85 ,746.26 
2012-10-19,717.83 ,743.93 
2012-10-22,719.18 ,745.90 
2012-10-23,716.21 ,741.98 
2012-10-24,730.69 ,755.09 
2012-10-25,725.90 ,750.08 
2012-10-26,695.66 ,720.59 
2012-10-29,683.38 ,708.49 
2012-10-30,682.33 ,708.31 
2012-10-31,690.13 ,714.93 
2012-11-01,698.63 ,723.67 
2012-11-02,695.70 ,722.14 
2012-11-05,701.97 ,727.89 
2012-11-06,707.20 ,733.08 
2012-11-07,704.91 ,731.19 
2012-11-08,688.13 ,712.62 
2012-11-09,691.28 ,715.84 
2012-11-12,701.84 ,725.53 
2012-11-13,687.26 ,709.26 
2012-11-14,687.76 ,709.62 
2012-11-15,685.11 ,705.37 
2012-11-16,683.57 ,703.01 
2012-11-19,681.23 ,701.91 
2012-11-20,686.15 ,706.42 
2012-11-21,701.78 ,721.19 
2012-11-22,696.86 ,716.61 
2012-11-23,699.14 ,718.66 
2012-11-26,687.21 ,707.62 
2012-11-27,674.75 ,693.36 
2012-11-28,667.63 ,684.82 
2012-11-29,670.62 ,687.61 
2012-11-30,686.73 ,703.72 
2012-12-03,679.82 ,696.22 
2012-12-04,689.37 ,706.44 
2012-12-05,707.87 ,725.66 
2012-12-06,706.76 ,725.27 
2012-12-07,716.72 ,735.42 
2012-12-10,719.97 ,738.91 
2012-12-11,710.31 ,729.57 
2012-12-12,711.84 ,730.44 
2012-12-13,700.73 ,720.12 
2012-12-14,729.87 ,749.07 
2012-12-17,726.04 ,745.52 
2012-12-18,726.96 ,746.15 
2012-12-19,723.65 ,743.12 
2012-12-20,727.74 ,746.74 
2012-12-21,741.50 ,760.16 
2012-12-24,745.46 ,764.28 
2012-12-25,758.58 ,777.50 
2012-12-26,758.59 ,778.50 
2012-12-27,748.75 ,768.58 
2012-12-28,751.41 ,772.47 
2012-12-31,751.74 ,773.02 
2013-01-04,752.07 ,772.19 
2013-01-07,767.34 ,788.80 
2013-01-08,765.70 ,788.45 
2013-01-09,764.70 ,787.47 
2013-01-10,764.85 ,788.41 
2013-01-11,754.34 ,776.98 
2013-01-14,775.60 ,801.05 
2013-01-15,787.50 ,814.05 
2013-01-16,809.06 ,833.41 
2013-01-17,798.78 ,823.34 
2013-01-18,821.94 ,846.07 
2013-01-21,837.05 ,863.55 
2013-01-22,820.40 ,845.74 
2013-01-23,826.13 ,850.92 
2013-01-24,806.48 ,829.65 
2013-01-25,811.96 ,834.80 
2013-01-28,831.49 ,854.30 
2013-01-29,828.01 ,851.33 
2013-01-30,823.13 ,847.61 
2013-01-31,818.04 ,841.10 
2013-02-01,816.70 ,840.74 
2013-02-04,801.86 ,825.24 
2013-02-05,814.81 ,838.82 
2013-02-06,810.88 ,835.74 
2013-02-07,822.34 ,847.72 
2013-02-08,835.73 ,860.57 
2013-02-18,829.81 ,856.16 
2013-02-19,811.32 ,837.56 
2013-02-20,828.16 ,854.48 
2013-02-21,807.50 ,833.25 
2013-02-22,799.18 ,825.66 
2013-02-25,810.81 ,838.38 
2013-02-26,814.13 ,840.04 
2013-02-27,820.45 ,846.45 
2013-02-28,831.65 ,858.57 
2013-03-01,836.10 ,864.97 
2013-03-04,814.45 ,842.80 
2013-03-05,825.45 ,856.70 
2013-03-06,868.56 ,900.35 
2013-03-07,872.30 ,903.73 
2013-03-08,865.41 ,896.44 
2013-03-11,872.74 ,901.50 
